カード,point,キーワード
愚者(正位置),"崖の上にいる彼。 足もとでは白い犬が 「危ない!」と止めているのか、それとも追 い立てているのかわかりませんが、 彼自身は上しか見ていなくて、一歩先には転 落が待ち受けているのにも気づかない様子。 まさに、愚か者。 でもこのカード、そ のものズバリの言葉どおりではなくもっと奥深いのです!危険かどうかは進んでみなければわからない、でも取りあえず前に進み始める。 そんなエネルギーが生まれた瞬間を表します。
","無意識 / 自由 / 直感 / 大胆/ 無限の可能性 / 出発 / 素直 / 若さ / 旅人/ボーダーレス
"
魔術師(正位置),"堂々と右腕にバトンを掲げ、 左手は下を指し示す。 頭の上には無限大マーク「∞」(インフィニティまたはメビウスリング)を載せています。机の上には棒・金貨・剣・聖())=火・地・風水の四大元素を表すすべての道具がそろっており、 錬金術の象徴です。このカードが出たときは、 創造性、 物事の具体的な始まり、 向上心、 愛の芽生えな ど、患者に比べて着実にスタートしている状態を表します。
","クリエイティブ/ 具体的なスタート / 創造 / 超意識 / 独自性 / 才能 / 器用 / 恋のはじまり
"
女教皇(正位置),"どこか冷徹な目を向けている女教皇は、 陰陽の特性を表す柱の前に鎮座し、 そ の懐に神秘の英知を記した書物を抱えています。 この書物は限られた者にしか 開示しないのです。日輪とも満月とも見える冠と足もとには大きな三日月。 神秘性を表す要素が満載 です! このカードが出たときは、インスピレーション、霊感、 理知的、 冷徹、常 識、プラトニックラブ。 そんな状態を表します。
","知性 / 真理 / 聡明 / 良識/ 清純 / 観察 / 理論 / スピリチュアル / 霊感 / プラトニックラブ
"
女帝(正位置),"豊穣の作物に豊かな自然。 女帝がゆったりと優雅に座っている足もとの盾には 女性 (金星) を表すフェミニンマークが。 女帝はこのあと出てくる皇帝の妃という 立場。 結婚している女性を表すことから慈愛や女性性を表すカードです。 妊婦に も見えます。 聖母マリアを象徴するのにしばし12の星が頭上に描かれますが、こ の女帝も冠に12の星をあしらっています。 このカードが出たときは、 幸福、 満ち足 りた状態、家庭、 安らぎ、結婚に結びつく恋というような状態を表します。
",女性的幸運 / 愛 / 慈愛 / 収穫 母性 / 成熟した女性 / 豊穣 / 妊娠 / 家庭 / 豊かな心
皇帝(正位置),朽ちることのない石座に鎮座し、威厳を持って見下ろす皇帝は男性性の象徴。 右手には古代エジプトの 「生命の鍵」 であるアンクの形の杓を持ち、左手には物 質を象徴する玉を持ってすべてを掌握しているようです。カードの背景は緑一つ生えていない険しい山脈。 周りに人影はなく、この寂しい 絵柄からは王者の孤独がにじみ出ているよう。このカードが出たときは、 行動力、 能力に秀でる、金銭を掌握、 攻撃、 真剣な恋愛。 そんな状態を表します。,"ビジネスの成功 / 実行 / 建設 /ビジョン / 父性 / 行動力 / カリスマ / 権力の最高峰 / 社長
"
法王(正位置),"慈悲と威厳に満ちたまなざしで二人の聖職者に教義する教皇。 右手は神の祝福 を表し、左手は「霊」を象徴する三重十字架。 頭にも三重冠をかぶっています。 「教皇」 の力が (キリスト教三位一体などの) 人間の精神・肉体・魂に及んでいる ことを表し、足もとにある2つの鍵は教皇が天国への扉を開くことができることを 意味します。 神の存在と精神性を象徴するこのカードが出たときは、信仰、魅力 的な人柄、指導力、周りの人を助ける、慎重な恋を表します。
","慈悲 / 全体への援助 / 親切/ 保守 / 維持 / 伝統的 / 友愛 / 正当性 / 宗教の最高峰/教育
"
恋人(正位置),りんごの樹にヘビが巻き付き、 アダムとイブを思わせる男女が天使に祝福され ています。 ヘビがいるのは女性側というのも興味深いですね。 両思いかと思い きや、女性はこの人でいいか、決めかねている様子。 このカードはパートナーの 象徴でありながら、 「優柔不断」も同時に表します。 カードの意味は明白なのに、 どこか意味深です。 このカードが出たときは、 恋のチャンス、 選択すべき時、二面 性、 優柔不断、 友情からの恋。 そんな状態を表します。,"恋愛 / 取捨選択 / SNS / 行動決定 / パートナーシップ /直感によるチョイス/共鳴 / SEX
"
戦車(正位置),"陰陽を表すスフィンクスを引き連れて戦場に向かう若きプリンス。 彼はスフィン クスをも打ち負かして従えさせた、 知恵と勇気の持ち主です。若さにあふれた彼 の行動範囲は広く、移動距離が多いほど成功へとつながるのです。勝利を表す兜の星、 行動力を表すバトンを右手に握り、前方しか見ていないプ リンスからは自信と勝利の確信が見て取れます。 このカードは、 克服、 別の世界 に進出、発展、 移動、 スピーディな恋愛。 そんな状態を表します。
","勝利 / 征服 / 行動 / 努力/ 克服 / 自立心 / 海外 / 若さ / 開拓精神 / 移動 / スピード
"
力(正位置),"ライオンを手なずける女性の頭の上には無限大を表すマークがあります。 ライオ ンはダイヤモンドを咥えていて、この女性はこのダイヤを口元から取るチャンス をうかがっているという説も。 その行いに必要なのは、 勇気と集中力。 奇跡はそ の精神力によって起こすことができることを示しています。 そのため、別名「奇跡 のカード」とも呼ばれています。 感情と理性のバランスが取れている、 情熱的、 積 極的、 自立、本能的に合う恋愛。 そんな状態を表します。
","奇跡 / 勇気 / 決意 / 意志 / 信念 / 本能 ・理性・感情の統合 絶好のタイミング / シンクロ
"
隠者(正位置),"六芒星の入ったランタンを持つ、孤独な老人が描かれています。 何もない白い 荒野にたたずむその姿は、まさに孤高の人。 すべての物事に精通し、経験を積 んだからこそ自ら孤独でいることを望んでいるのです。 しかし、見込んだ人間に はすべてを与えようと行動する性質も持っており、 次の世代にその知恵をつなげ ようとするのです。 このカードが出たときは、 自分自身をじっくり見つめる、フィク サー、密かに進める計画、有能、 秘密のある恋愛を表します。
","真理 / 思慮 / 探究 / 内的回帰 / 熟慮 / 老人 / マスター / フィクサー / 大人の恋 / ロジック
"
