12星座名称,基本キーワード,ASC特徴,太陽がこの星座なら…,月がこの星座なら…,恋愛傾向
牡羊座,主張、自己主張、積極性、独断的、直進的、断定的、進取、精力的、情熱的、活動的、エネルギッシュ、勇気、開拓精神、自己中心主義、新しい純粋で単純なパワーや、スタートダッシュ、挑戦、信念。,スッキリした顔立ちで凛々しい。自己主張が激しくリードを取ることを好む。結論も行動もスピーディー。,"本能的、自分発のエネルギー
 率直で正直。自己主張が激しい。1番が好き。リーダー的立場を好む。",負けず嫌いで短気。親しい人にはかなりのわがままぶりを発揮。危険が大好き。,好きになったら周囲関係なくストレート、熱しやすく冷めやすい、手に入れたら冷めやすい
牡牛座,所有・所得、保守性、頑固、消極性、安全性、審美性、忍耐、粘り、調和、和合、金運、財産、安定志向で五感、慎重、緩慢性、執着性。現実的な富と経済、豊かさと繁栄、所有,やわらかい体つきで行動もスロー。何をするにもジックリと立ち向かい時間をかけてひとつのことを達成していく。頑固。,"じっくりゆっくり安全主義
 12星座１美しいものイケメン・イケジョが好き(世間一般ではなく自分の原理原則として)
 ひとつのことを決めるのに時間をかける。慌てず騒がずマイペース。",頑固でこだわりが強い。親友でもお金のことにはシビアでかなり強欲さが目立つ。,"ゆっくりじっくりでめちゃくちゃ慎重
 愛に満たされた恋愛をしやすく安定感がある。"
双子座,ナイーブ、精神的興味、臨機応変、通信連絡、実用的知性、知識、文化、コミュニケーション、会話が巧み、情報や伝達、飽きっぽい、きまぐれ、色々な方面に興味がとんで目標をひとつに絞れない、流されてしまいやすい、ストレスを溜めやすいかも,スマートで手足が長い。素早く何にでも手を出すがかなり飽きっぽい。人と接することを好み、多弁で話術も巧み。,"12星座の中で唯一2人いるからコミュニケーション能力が高い、コミュニケーション能力が低い人が苦手
 何をするにもスピーディー。考えがころころ変わるので言動には落ち着きがない。",親しい人にはやることも言うことも調子がいい。変化を好みジッとしていられない。,"会話を楽しみたい いろんな人や体験をしたい、楽しみたい人 恋愛に対する好奇心が高い フィーリング重視、楽しくなきゃダメ、
 友達カップル、グループ交際からの発展"
蟹座,感応、感性、家庭や母性、家族、それらを守り育てて行くものの象徴、環境の活用性、感情的、母性的な保護、保育精神、感情的な防衛本能、反応と不安定、消極的で保守的、強い感受性、献身的な心、豊かな喜怒哀楽、同化精神。,潤んだ目が特徴的。理論より感情を優先する。身内や仲間を大切にする。自分のテリトリーはほぼ決まっていて、守りが固い。,"母親の星。自分のフィールドに入れた人は仲間、それ以外は敵。好き嫌いが激しい
 12星座の中で母性が一番高い
 見方や仲間を増やすことに熱心でテリトリーを守ることを優先",気さくで人なつこい。気に入った人にはベッタリしたがる。親切だが嫉妬心も強烈。,"自分のフィールドに一度入れると無償の愛 一度ハマると抜け出せない
 直球な愛し方、好き嫌いがはっきりしている"
獅子座,情熱、意志、自己表現、志す、高潔、陽気、創造、創造性、創造開発、尊厳、ドラマチック、恋愛、子供、娯楽、冒険。積極的、無邪気、王者、威厳、高い精神性とプライド、力と権力による繁栄,目鼻立ちがハッキリしていて目立つ。態度もデカく堂々としている。見栄っ張りだが見せ場をつかむタイミングを知っている。,"百獣の王ライオン、燃え上がるような恋愛、自分はどかない、12星座の中で一番華やか、ライオンが群れをなすように自分の部下などは守る星座、ひとりになると寂しくなる、リーダーシップある、王者の風格
 自信家でプライド高い。強引だが華やか。周囲の注目を集めるのが大好き。",うぬぼれが強く贅沢を好む。人前でカッコつけたり見栄を張る。泣き言は言わない。,"大胆な恋愛、自分を立ててくれる人
 かなり大胆な恋愛を展開させる。思う存分恋を楽しみたくさんの思い出をつくる。"
乙女座,几帳面で繊細、細かい事が苦にならず、分析、調べる、批評と綿密性、実用性の追求、鋭敏な感覚、研究、純潔性、平和、消極性、知的で論理性を表し、コンプレックスに敏感で生産と義務や労働を象徴,華奢な体格で清潔感を感じさせる。整理整頓が得意。けっこう物知りでいつもソツのない対応をするが批判も多い。,"基本的にクール、リアリスト
 まじめで責任感強く社会のルールをよく守る。鋭い観察眼で周囲を把握している。",控えめでマナーを守る優等生。親しい間柄でも感情は抑えられがちだが、批判精神は旺盛。,プラトニックな恋、恋愛に現実をみる、現実を見過ぎてしまうと失敗する(将来まではみれていない)、相手のステータスを気にする。
天秤座,公平、秩序、理性と感情のバランス、センス、社交性、比較、計る、冷静で公平、調和をはかる、配偶者、共同者、取引、スマート、八方美人、調和性などの意味があり、広く浅く、多くの人と楽しく交際していき、観察したり、仲を取り持つ,バランスの取れた体格と上品な顔立ち。人とはできるだけ争わずトラブルも避けて通る。自分と合わない人からはうまく逃げる。,"バランサー、協調性がある、誰にでも合わせられる、センスがいい、社交的、華やか、八方美人になりやすい
 誰にでも友好的。付き合いを広げるのが好きなので社交の場を好む。",いつもにこやかで気配り上手。八方美人なところがあり、決定権は人に譲りがち。,バランスがいいからモテる、不公平な状態が嫌、自分には優しいけどお店の人には高圧的な人な人が嫌い
蠍座,欲望、希求心、求める、秘密性、陰性、陰性のプライドや品位、用心深さ、徹底的な調査探求、洞察力、激しい情念、耐久力秘密性、冷静沈着な野心、執行者、徹底主義、隠された力や情念、情欲、SEX、一点集中,鋭い眼差しと動物的なムードが特徴。自分の本音は隠すが友人や関わる人の本心を読み取るのは熱心で、ずる賢さがある。,"交友範囲が狭い、自分のフィールドが決まっている、執念深い、一番深淵に近い、スピリチュアル性が高い、本音を言わない、ひとつのことに執着する、マニアック、一途
 秘密主義。なかなか本音を語らない。執念深さがあり復讐心や嫉妬心は強烈。",勘が鋭く、自分の思い通りにならないと気が済まない。親密な相手にも秘密を持つ。,色っぽい人が多い。ともかく繋がりが深くなりたい、この人オンリーの恋愛傾向。嫉妬深い。
射手座,理解、自由性、二重性能、二元性、迅速性、知性と本能への両極への自由、旅行、遠方、精神的な興味、学術思想へ傾倒、強い探求心、臨機応変、寛容性、活動性、平和性、理想主義、未知の世界（つまり遠い世界）や高い精神性,健康的な顔立ちと明るく朗らかな振る舞いが特徴。アウトドアが好きな行動派だが何事にも無頓着で無責任な言動も多い。,"的とか目標が必要な人。外界に出たい、体験したい人、目標を決めたらどんなに遠回りをしても達成する
 自由人で束縛を嫌う。チャレンジ精神は旺盛だが気まぐれなので無駄な行動も多い。",いつも楽天的で前向き。自然体だがガサツさも強烈。飽きっぽく根気はほとんどなし。,色々な恋愛をしたい人。情熱的な恋愛。恋愛に正直。
山羊座,現実性、社会性、堅実、確実性、誠意・誠実と忍耐、追求心、父性、世間や社会、職業、仕事や家庭外、責任感、独立心、思慮性、沈着性、執着心、使役、使う、安定や安全,外見もファッションも地味で落ち着いている。発言も控え目で用心深い。何事にも冷静に対応し、かなり忍耐強い。,"忍耐強い、真面目でコツコツ。最後は勝つ星。経営者に多い。責任感が強い。
 何事も自分の方針を変えない。人とは争わないが、協調性はあまりない。",責任感があり理性的だが、感情表現は下手。仲が良くても気を許さないところがある。,自分の計画的な行動に水を差されるのが嫌い。誠実な恋をする。真面目なのでちゃんと自分を見てくれる。安心感がある。裏切らない
