名称,基本キーワード,結婚相手,恋愛傾向
太陽,"自分らしさ・本質・表向きの顔
 自分自身系、才能、持ってうまれた使命
 公的、男性的な要素、父親、夫、男性一般、健康、生命、権威、地位、輝かしいもの、隠し事のない状況、品位、活力","結婚相手は自分自身を活かしてくれる人、結婚相手は尊重してくれる人、応援してくれる人
 結婚相手は社会的地位のある人。結婚により人生が発展しやすい。ハードの場合は自分勝手だったり権力をふるってくる。","ストレート
 恋に有利で実りやすい。チャンスを掴む力があり、華やかな恋愛を実現できる。"
月,"内面・裏の顔・満ち欠け
 幼児、母親、妻、女性一般、感情、習慣、個人生活のテリトリー、個人的な欲望、成長、繁殖、イメージ力、日用品、航海、看護、醸造、受動性","マインド重視
 結婚相手は家庭人でフォローが上手。ハードの場合は結婚相手が変わりやすかったり相手に浮気をされる。","恋人が変わりやすい（月が満ち欠けするように）、ストライクゾーンが広い、自分の気持ちに周期があるので工夫が必要
 ドラマチックな恋愛をしやすい。ロマンスも多く恋人が変わりやすい。"
水星,"才能・知識・コミュニケーション
 仕事の能力が高い センスがいい(会話・洋服なども)
 知性、コミュニケーション能力、認知力、機敏な反応性、移動、言語能力、兄弟姉妹、事務処理能力、会話、簿記、手紙や郵便、商業的な手腕","結婚相手はユニークでコミュニケーション能力が高く楽しい人
 結婚相手はよく気が利き、理知的で仕事にも一生懸命。ハードの場合は口うるさく批判的なので口論が多くなる。",友達カップル 友達から恋愛へ発展、仲良くしている異性が恋人になりやすい。目移りが多い。
金星,"愛・調和・お金
 美しいものが好き、面食い、自分の価値観の中でのイケメン・イケジョ好き、美を保有したい
 芸術、文化、金銭、倫理、所有物、美、パートナーシップ、魅力、甘い食べ元、調和のセンス、音楽",結婚相手は魅力的で自慢できるものを持っている。ハードの場合は浮気や不倫など相手の異性問題が浮上する。,"恋愛は成功しやすい、恋愛スキルが高い人に弱い(連絡がマメなど)
 恋愛が成功しやすい。ライバルが多い相手でもみごとにハートを射止められる"
火星,"行動指針・情熱・エネルギー・衝動
 力、性的なエネルギー、攻撃心、権力、闘争的な力、競争力、外科手術、戦争、武器、刃物、事故、燃料、怪我、暴力、鉄、切断","何事にも一生懸命な人に弱い
 結婚相手は情熱的で頼もしい。仕事にも熱心。ハードの場合は短気で家庭内はケンカが絶えない。平和が乱れやすい","情熱的、追う恋が好き
 恋愛には強気で盛んである。スリルや一時の性衝動を楽しむこともある。"
木星,"発展・幸運
 良くも悪くも拡張する天体、ラッキーな天体
 援助、幸運、発展、成長、善の意識、寛大、容認、守りの欲求、イージーさ、無意味な繰り返し、自然なリラックス","世の中で理想とされる結婚相手
 立派な結婚相手。精神的にも物質的にも力がある人。ハードの場合は宗教や財政でモメ事が起こりやすい。",恋愛には幸運が多い。チャンスをつかみやすく相手に不自由しない。
土星,"プレッシャー・試練・課題
 明確な形、形式、委縮、凝固、責任、組織力、限界点、安定性、恒常的資質、遅延、憂鬱、老成、科学、時間性、保守的、転落、権利、契約","試練の先に成長がある、苦労はあるけど先に未来がある
 結婚相手とは愛情というより義務や打算で結ばれやすく晩婚になりやすい。ソフトの場合は誠実な結婚相手となる。","恋愛として乗り越えなければならない試練がある、過去に苦労があり今に至っている人
 恋愛には親の反対や周囲の妨害などなんらかの試練がある。苦手意識も強い"
天王星,"変革・目覚め
 革新・革命・時代を変える
 独立性、組織性、覚醒、冴え、変革的行動、一部改革、オリジナル、科学性、電気・電磁波、魔術、占星術、心理学、考古学、航空機、パソコン、構造性、推理、洞察、未来、独裁、エキセントリック、反抗心、個人主義","自分に影響与える人、変わる人
 離婚の暗示が潜在。結婚相手は身勝手なタイプ。ソフトの場合は魅力的な結婚相手になり結婚生活も楽しい。","別居婚、週末婚など世間一般の恋愛ではなく今の時流に合った恋愛。夫婦別姓など新しい価値観
 常識の枠からはみ出るような恋愛になりやすい。波乱でドラマチックである。"
海王星,"不安・恐怖・苦手
 ネガティブとポジティブの両方を持っている・目に見えないもの（潜在意識など）、定まらない、ふわふわしている、バブルなもの（一過性のもの）、スピリチュアルな繋がり、目に見えない縁
 液体、芸術、映像芸術、幻惑、幻想、幻滅、精神病、神秘感覚、超感覚、詐欺、曖昧なもの、石油、麻薬、バブルなもの、ダンス、薬物中毒、夢遊病、トランス状態、不注意","精神的なスピリチュアル的な愛情の深い結婚生活、ソウルメイト
 結婚詐欺の暗示が潜在。裏切られたり失望させられるような結婚生活。ソフトの場合は愛情の深い結婚生活。","お互いがいないと生きていけない、溺れる、依存傾向、スピリチュアルな繋がり
 デリケートで情緒あふれる恋をしやすい。裏切りや失望を経験することも。"
冥王星,"破壊と再生・ビッグバン
 生半可ではない
 地下世界、死と再生、破壊、こだわり、閉鎖性、脅迫、変化、極端さ、全面改定、孤独、闇、無、絶対、消滅、強制力、支配、誘拐、深刻さ、異常性","一途、沼、赤い糸で結ばれた人、カルマの因縁で繋がっている
 結婚相手と強い因縁で結ばれ良くも悪くも結婚が人生を180°変える。ソフトの場合は赤い糸で結ばれる。","激しい恋、どんなに相手が他人から見て悪い条件でも好きになってしまう
 電撃的・運命的・宿命的な出会いがあるが、問題含みの恋が多く、破綻と背中合わせである。"
