宮,テーマ,意味
第１ハウス,個性・自分自身・パイオニア,天性・パーソナリティ/自分自身。自分自身の性格、体格、能力、出生時の環境/性格・才能を生かした仕事、人に与える印象、肉体の強弱、遺伝的体質・顔・骨格、幼児期の環境の影響、基本的な運命 物事の始まり、転職タイミング
第２ハウス,金運・所有物,金運・財産・所有物/金銭関係や経済問題をはじめとする所有物、その人の持つ財産、法政、貴金属及び全てのもの、そして地位、信用、経歴など、有形無形にかかわらず本人の所有物全般。収入源、金銭を得る仕事、理財能力、金銭感覚、収支決算と収支バランス、財産（動産および人）
第３ハウス,通信・情報・IT・知識・知性,知性・顕在意識/その人の顕在化した意識や、精神的傾向、興味の方向。勉学、知識、知的作業を伴う仕事、教育、教養、そして文筆の能力など。また意識レベルでのコミュニケーションや近距離や短期間の旅行など。兄弟姉妹、親戚、隣人などの近しい人間関係を表す。表現力、コミュニケーション、知性を生かす仕事、大学までの学校教育、兄弟姉妹・従兄弟・隣人関係、国内旅行、転居、交通機関、短期契約 ペンネームを使ってする仕事、作家性、ブログ
第４ハウス,家族・自宅・晩年・自分の居場所,家庭・生活基盤/家（住居）、家族、祖先などに関するもの全般、不動産、両親、晩年運など。その人の基礎となる場所であり、性格形成に重要な役割を果たすだけでなく、社会での活動の根元となる。不動産関係。家庭、住居、両親、家柄、親から受け継いだ仕事、晩年の生活と仕事、不動産と墓地、家督相続、財産相続、母性愛、物事の基盤、職場のチームワーク（疑似家庭）
第５ハウス,趣味・恋愛・ギャンブル,恋愛・創造性/創造、冒険、遊び、恋愛、情事、親の財産、親友などを表す。恋愛についての意味を持つが、結婚はこのハウスではない。旅行以外のレジャー。空想や夢またはプライバシーに属するポジティブな想像が含まれる。恋愛、スポーツ、ギャンブル、投機、株、商品相場、ゲーム、美術・文学・音楽・演芸など創造性や個性を生かした仕事、父親の財産（人脈を含む）、自分の作品、キャラ出しすること（自己を意識的に表現）
第６ハウス,仕事・修行・健康,健康・仕事/健康と病気、及び労働、奉仕など肉体の働きに関係するもの全般。肉体の活動を伴う仕事。会社勤めの仕事。奉仕。健康、小さな動物、借地と借家、父母の兄弟姉妹、衣服など。健康、仕事への態度、就職、職場での人気、部下・使用人・年下との人間関係、父親の兄弟姉妹、服装のセンス、ペット、職場環境、職業病、家の近所などで頻繁に接触する人・場所（コンビニなど）
第７ハウス,人との相性・恋人・パートナー・仕事相手,結婚・パートナー/結婚相手、協力者、近い場所にいるパートナーを意味する。結婚問題、配偶者関係、婚約、共同事業と協力者、移転、人事（契約問題）、祖父母など。第1ハウスの反対側なので、自分自身に対し、相手を表す。結婚、同棲、内縁関係、パートナー・取引先・交渉先・親友・ライバル・法的対立相手との関係（血縁者を除く）、契約、祖父母、政治活動 離婚・再婚、社交性（他者との基本的な関わり方）
第８ハウス,財産・結婚・セックス・生と死,セックス・死と再生/なにか人生の転換を象徴している。セックス、死、再生、神秘的なもの。遺産と遺言、自己、遺伝、配偶者の金運、セックスの問題、結婚後の夫婦関係など。第2ハウスの反対側であり、他人のお金や所有物も意味する。配偶者・親族その他から得る財産・地位、配偶者・同棲相手・共同経営者などの金運、セックス能力、死に関する研究・霊的能力、融資・負債、洞察力、先人から何かを受け継ぐ縁・能力（研究者・修行者が先達から英知・技術を受け継ぐなど）
第９ハウス,海外・理想・思想・信仰,精神・学問・研究/ 第3ハウスの反対側であり、潜在意識や精神、宗教など、深い意識、無意識を意味する。高等教育や専門的な研究、哲学、信仰。長距離旅行や移動。海外のこと。高度な学問・研究とそれに関する教育・仕事、霊感、海外での活動・旅行、外人との交流、配偶者の兄弟姉妹・従兄弟関係、出版・貿易・広告・宣伝・TVなどの仕事、大学・大学院、留学、趣味志向、資格・習い事、目標（やりたいこと、やりたいと思う意志）
第１０ハウス,目標・使命・社会的地位・名誉・権力,社会的成功・社会生活における可能性/第4ハウスの反対側であり、家に対する社会を意味する。第4ハウスが私的な生活であるとすれば、公的な生活全般の意味を持つ。具体的には、公的な問題や、社会性、仕事、職業、地位、名誉、肩書き、身分、父親、社会的な所属等を意味する。また、このハウスカスプはＭＣと呼ばれ、その人が生まれたときに天頂に位置したサインを意味する。このＭＣには、その人の社会性や、社会的に成功する度合いが示されている。社会活動による地位・名声・評判・権力、親の地位、夫の家柄・地位、上司・年長者・権力者・政権・権威との関係、人生哲学 独立起業（の可能性・時期）、リーダーとしての手腕
第１１ハウス,友人・仲間・チーム,友人・願望・友情/交友関係、社会的願望、希望、目標、仲間、グループ活動。第5ハウスの反対側なので、社会や現実を伴った望みや、社会的なつながりを意味する友情も含まれる。趣味・思想・主義主張などを通じた友人関係、所属団体（サークル・政党・組合など）、父母・配偶者の友人、所属団体の財産管理・利益、配偶者の生殖能力、コネクション
第１２ハウス,潜在意識・秘密・策略,秘密・障害/見えない部分、影の部分、人の目に触れないところ。秘密（不倫・脱税など）、災難、自分の中の敵（妄想）、陰謀、迫害、隠れた素質（犠牲的精神・直感力・神秘性・想像力）、世間から隔離された生活・入院・投獄など、思いがけないラッキーとアンラッキー（精神的指針としての“神様”）
